axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2,sys_total_0,sys_total_1,sys_total_2,sys_1_par0,sys_1_par1,sys_1_par2,sys_2_par0,sys_2_par1,sys_2_par2,sys_9_par0,sys_9_par1,sys_9_par2,sys_5_par0,sys_5_par1,sys_5_par2,sys_6_par0,sys_6_par1,sys_6_par2,sys_8_par0,sys_8_par1,sys_8_par2,sys_7_par0,sys_7_par1,sys_7_par2,sys_4_par0,sys_4_par1,sys_4_par2,sys_3_par0,sys_3_par1,sys_3_par2,sys_10_par0,sys_10_par1,sys_10_par2,sys_11_par0,sys_11_par1,sys_11_par2
q2,2,1.4161123991,1.2992051363,0.00579731492326,0.391091197729,0.52296257019,0.0261107068509,-0.353939980268,-0.13543535769,0.00504170363856,0.284631755821,0.244036644289,0.0006785895675,0.028623476625,0.019829273223,0.0006983038038,0.019488543272,0.007794797421,0.00131202675402,0.130901753902,0.103551760316,0.00174260698259,0.0173089206219,0.000686660408974,0.000204015523195,0.0868076980114,0.0821450352669,0.0007802862674,0.00299173593521,0.0174912214279,0.0034295655787,0.224607512355,0.0551934540272,0.000741319730878,0.00668504834175,0.099612750113,0.00154619291425,0.0502752661705,0.0942348912358,0.00192230194807,0.0356120467186,0.0253249183297,0.000815272331238,0.0234027802944,0.137230291963
q2,3,1.53989214897,1.4161123991,0.0062312418595,0.420784145594,0.481268495321,0.0282034054399,-0.166128858924,-0.229832574725,0.00643496300535,0.237583553229,0.241089904114,0.0011867024005,0.0339138954879,0.028848499059,0.0013821162283,0.087801434099,0.012597844005,0.000911809504032,0.00580662488937,0.0520097762346,2.09677964449e-05,0.141007192433,0.058707728982,0.0023048017174,0.0441242307425,0.00249204039574,0.0015175063163,0.0783471167088,0.0878322720528,0.00233045592904,0.0232507735491,0.0683570206165,0.00291895866394,0.00196228921413,0.0655270069838,0.000390311703086,0.0402500331402,0.0231799781322,0.00359972380102,0.0773660093546,0.126131236553,0.00160678848624,0.106933265924,0.133597142994
q2,4,1.67998671532,1.53989214897,0.00768603337929,0.446809738874,0.525232851505,0.0293595250696,-0.23092867434,-0.224660336971,0.0046913165444,0.19387292535,0.200719985309,0.000449988991,0.000232309103,0.073011219501,0.0029972027987,0.052310347557,0.002589702606,0.00162586010993,0.0467121303082,0.00628006458282,0.00022211112082,0.0134610235691,0.0143812894821,0.000261029228568,0.0254119038582,0.0446507483721,0.00187862850726,0.0635949969292,0.0938401967287,0.00128865800798,0.0768349766731,0.0861461162567,0.000422431156039,0.0208486318588,0.0469026565552,0.000765614211559,0.0843530297279,0.0093644708395,0.00200666114688,0.106935963035,0.110177025199,0.000284004956484,0.0539255142212,0.0453602522612
q2,5,1.84562065601,1.67998671532,0.00780055066571,0.388721317053,0.527883172035,0.0301333721727,-0.226530343294,-0.120444625616,0.00513316441687,0.210186476862,0.228966223436,0.0018829852343,0.017482221127,0.038876697421,0.000277319923,0.007447496057,0.033399775625,0.00061958655715,0.149568483233,0.125663870946,0.000693667680025,0.0547796785831,0.12193197757,0.0017914827913,0.0969536751509,0.0689048469067,0.000976784154773,0.0372911244631,0.0215191394091,0.00142469070852,0.0228213518858,0.0550870969892,0.00291556492448,0.0361658483744,0.0393342226744,0.000231796875596,0.0342657566071,0.0956089347601,0.00248496420681,0.0124198794365,0.0103023797274,0.0009691324085,0.0670663565397,0.0099922567606
q2,6,2.05102458,1.84562065601,0.00679204287007,0.363907068968,0.503205418587,0.033405456692,-0.0378896556795,-0.250142931938,0.00535590582671,0.139802142929,0.160490024204,1.86450779e-05,0.0133592514322,0.018880799413,0.0023149251938,0.0361881591379,0.000622943043,0.00192726030946,0.00590238720179,0.0658791512251,0.000632055103779,0.0749729666859,0.0769995003939,4.01064753532e-05,0.0600021015853,0.104310125113,0.00126054510474,0.0636142157018,0.000962138175964,0.000404950231314,0.0226462238279,0.0199492126703,0.00370435044169,0.0294473804533,0.0331846177578,0.000392057001591,0.0149458209053,0.0199826955795,0.00144615396857,0.0534865106456,0.0368350148201,0.00122099369764,0.0170175824314,0.031533241272
q2,7,2.32136573792,2.05102458,0.00551288481802,0.359531342983,0.499403208494,0.0278070215136,-0.226184993982,-0.211322441697,0.002716369871,0.165418158102,0.270578873635,0.0001863725484,0.044764384628,0.118483364582,0.001621382311,0.058480009436,0.00554279983,0.000769935548306,0.00790038704872,0.0819698274136,0.000229740515351,0.0540684312582,0.029081299901,0.000190095975995,0.0866418257356,0.176617220044,3.89274209738e-05,0.0556426793337,0.0873690843582,0.000862034037709,0.0695655047894,0.0774800479412,0.000103110447526,0.0449407100677,0.0199034512043,0.000374121591449,0.0039194971323,0.0170514136553,0.00148754939437,0.0156852602959,0.0745865106583,0.000961931422353,0.0350751131773,0.0223364979029
q2,8,2.73428564072,2.32136573792,0.00586579414085,0.376975446939,0.446846991777,0.0354117117822,-0.0356522426009,-0.234732553363,0.00375164037631,0.140354134396,0.195985191477,0.0014418549835,0.0668461024761,0.000539660454,4.18610871e-05,0.0479201823473,0.016714841127,0.00171187520027,0.0461850240827,0.0558362901211,0.000400006771088,0.00804907869315,0.00517100095749,0.00125857815146,0.042605499737,0.0280153155327,0.000706996768713,0.0555953141302,0.0622017681599,0.00235340744257,0.0681198621169,0.00813740491867,0.000335019081831,0.0253297612071,0.0576293170452,0.000660561025143,0.00217636488378,0.0499325990677,0.000515606254339,0.0224084481597,0.00395038723946,0.000683203339577,0.00646827183664,0.156320005655
q2,9,4.73682165146,2.73428564072,0.00641658995301,0.403359562159,0.596222519875,0.0284199118614,0.138318121433,-0.0796717852354,0.00504230823695,0.208232035504,0.223399579184,0.0004190970213,0.02195315063,0.010980129242,0.0001423750072,0.008319728077,0.0545550845567,0.00102800503373,0.0189489126205,0.0851097330451,0.000388672575355,0.0354660749435,0.011161185801,0.00262470915914,0.0565017983317,0.122113201767,0.000347359105945,0.0442983880639,0.0505193397403,0.00309748575091,0.175834566355,0.0590882543474,0.00221211835742,0.0226795747876,0.00385856162757,0.00109037384391,0.034776635468,0.070063970983,0.00102847069502,0.0364540219307,0.0138349700719,0.000526107847691,0.0454670190811,0.11563649209
x,0,0.143282440305,0.106729149818,0.00606628926471,0.48768594861,0.461590468884,0.0219954960048,-0.244364053011,-0.280112951994,0.00447854709206,0.359412155079,0.276680253212,0.0001973267645,0.072995215655,0.071308881044,0.0006368439644,0.047605276108,0.051682591438,0.000731321051717,0.121191307902,0.15421551466,0.0027869567275,0.0244160592556,0.142192944884,9.93404537439e-05,0.227610081434,0.0725097358227,0.000979507341981,0.0440793931484,0.0671727061272,0.00109925307333,0.110092625022,0.0227271020412,0.000255018472672,0.119988173246,0.0309714972973,0.000409506261349,0.0194575190544,0.0431254506111,0.0029006190598,0.097238175571,0.107364922762,0.000697808340192,0.127272576094,0.0127293765545
x,1,0.166495496035,0.143282440305,0.00611289869994,0.404615700245,0.464852929115,0.0219013784081,0.0279193073511,-0.36975184083,0.00605595239839,0.324307767702,0.368284671941,0.0018433090299,0.0430961381644,0.042328804731,0.0005732979626,0.0244728326797,0.063660800457,0.000601360574365,0.0475760772824,0.0684821903706,0.00108735635877,0.122931696475,0.0271408855915,0.00105400756001,0.055294284597,0.0475814044476,0.00247813016176,0.0510983420536,0.00791358947754,0.00370319187641,0.223749965429,0.236649081111,0.000446517020464,0.142741784453,0.000751554965973,0.00294895656407,0.0360204055905,0.100595682859,0.00065235607326,0.0747559405863,0.192078858614,0.00105694867671,0.0484764231369,0.137909352779
