axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
q2,5,1.8456206560134891,1.6799867153167725,0.00840362161397934,0.45947906374931335,0.54422926902771,0.02994445152580738,-0.12562786042690277,-0.2788344919681549
q2,6,2.051024580001831,1.8456206560134891,0.007196351420134306,0.39012354612350464,0.5069379806518555,0.03267938643693924,-0.022116977721452713,-0.273868590593338
q2,7,2.3213657379150394,2.051024580001831,0.005616302136331797,0.3847580850124359,0.4905542731285095,0.02795257978141308,-0.22150851786136627,-0.22881126403808594
q2,8,2.734285640716553,2.3213657379150394,0.005867622792720795,0.3901202380657196,0.4419865012168884,0.03613993525505066,-0.07503039389848709,-0.3173140585422516
q2,9,4.73682165145874,2.734285640716553,0.00667880242690444,0.37965571880340576,0.5919492244720459,0.027452440932393074,0.16114120185375214,0.007605276070535183
x,0,0.14328244030475618,0.1067291498184204,0.00619336124509573,0.5154597163200378,0.45388150215148926,0.02063126303255558,-0.14025342464447021,-0.32754752039909363
x,1,0.1664954960346222,0.14328244030475618,0.006478214170783758,0.4408934414386749,0.4543629586696625,0.021557128056883812,-0.03669966384768486,-0.46489670872688293
x,2,0.18854448497295384,0.1664954960346222,0.00683343643322587,0.4083535373210907,0.44504764676094055,0.03570272773504257,-0.030435070395469666,-0.2986992597579956
x,3,0.21073120534420012,0.18854448497295384,0.008297964930534363,0.49681469798088074,0.3515627086162567,0.028311165049672127,-0.16317689418792725,-0.5759936571121216
x,4,0.23393914103508,0.21073120534420012,0.006459563504904509,0.3564228415489197,0.5874524712562561,0.027282852679491043,-0.07451848685741425,0.012180444784462452
x,5,0.2590043723583222,0.23393914103508,0.007272613234817982,0.4417368471622467,0.5486825704574585,0.030032062903046608,-0.30602800846099854,-0.10462581366300583
x,6,0.28756390213966365,0.2590043723583222,0.006173213478177786,0.412818968296051,0.5154014229774475,0.03172014653682709,0.06996524333953857,-0.25877872109413147
x,7,0.3227645635604859,0.28756390213966365,0.007769010495394468,0.4317619800567627,0.5475997924804688,0.032906629145145416,-0.3714683949947357,-0.21053141355514526
x,8,0.3750255167484283,0.3227645635604859,0.005645890720188618,0.4099874198436737,0.49594399333000183,0.02636982873082161,0.3784429132938385,-0.17375801503658295
x,9,0.6019378304481506,0.3750255167484283,0.007110973354429007,0.4049738347530365,0.6409781575202942,0.025622360408306122,0.15743929147720337,0.06034399941563606
z,0,0.2396875262260437,0.1212601587176323,0.003876171540468931,0.40777459740638733,0.44887426495552063,0.021076584234833717,-0.2516014575958252,-0.15072330832481384
z,1,0.2980115830898285,0.2396875262260437,0.004157782066613436,0.40015628933906555,0.6076254844665527,0.024469738826155663,-0.2250787615776062,-0.06362902373075485
z,2,0.3451929092407227,0.2980115830898285,0.0065348451025784016,0.39685386419296265,0.2841837704181671,0.03214007988572121,-0.009495285339653492,-0.57072913646698
z,3,0.3884427964687348,0.3451929092407227,0.005082061514258385,0.3683412969112396,0.5399045348167419,0.02794021926820278,-0.024520158767700195,-0.09347248822450638
z,4,0.4313110709190369,0.3884427964687348,0.007187721319496632,0.3839563727378845,0.2791458070278168,0.031081249937415123,-0.05772274360060692,-0.6403432488441467
z,5,0.4757919132709503,0.4313110709190369,0.005197761580348015,0.4693583846092224,0.5374915599822998,0.025199534371495247,-0.3247162997722626,-0.1616981327533722
z,6,0.5244358897209167,0.4757919132709503,0.006040083710104227,0.4771108031272888,0.5423018932342529,0.02665082924067974,-0.17757689952850342,-0.20149478316307068
z,7,0.5816251993179322,0.5244358897209167,0.0069356816820800304,0.47675061225891113,0.48792070150375366,0.027976756915450096,-0.08075369149446487,-0.30525845289230347
z,8,0.6572737574577332,0.5816251993179322,0.008002067916095257,0.42225411534309387,0.36039796471595764,0.039861708879470825,-0.22905249893665314,-0.41285622119903564
z,9,0.8930836319923401,0.6572737574577332,0.00938005093485117,0.4642656445503235,0.40238237380981445,0.03672967106103897,-0.10081140697002411,-0.5809085369110107
