,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
9,x,6,0.3679593503475189,0.3151669204235077,6074,6270,105.0,9,0.00899859,0.0005087795,0.021199144,81
10,x,6,0.3679593503475189,0.3151669204235077,6497,6661,135.0,10,0.008716555,0.0003993773,0.01664072,82
11,x,6,0.3679593503475189,0.3151669204235077,10373,10496,165.0,11,0.0069220657,0.00018885692,0.007869039,83
0,x,7,0.6005192399024963,0.3679593503475189,10515,10550,-165.0,0,0.0068899835,5.323975e-05,0.0022183228,84
1,x,7,0.6005192399024963,0.3679593503475189,6897,6734,-135.0,1,0.008564082,0.00038316805,-0.015965335,85
2,x,7,0.6005192399024963,0.3679593503475189,6106,5710,-105.0,2,0.009190298,0.001073876,-0.044744834,86
3,x,7,0.6005192399024963,0.3679593503475189,5709,5390,-75.0,3,0.009485017,0.00092095044,-0.038372934,87
4,x,7,0.6005192399024963,0.3679593503475189,3433,3180,-45.0,4,0.012280992,0.0012258897,-0.051078737,88
5,x,7,0.6005192399024963,0.3679593503475189,1632,1492,-15.0,5,0.017859353,0.0014359736,-0.05983223,89
6,x,7,0.6005192399024963,0.3679593503475189,1502,1480,15.0,6,0.018311549,0.00023639837,-0.009849932,90
7,x,7,0.6005192399024963,0.3679593503475189,3248,3396,45.0,7,0.012262896,0.00071377534,0.029740639,91
8,x,7,0.6005192399024963,0.3679593503475189,5408,5520,75.0,8,0.009565089,0.00032840273,0.013683448,92
9,x,7,0.6005192399024963,0.3679593503475189,5760,6228,105.0,9,0.009120863,0.0012509171,0.052121546,93
10,x,7,0.6005192399024963,0.3679593503475189,6739,6799,135.0,10,0.008594392,0.00014201237,0.005917182,94
11,x,7,0.6005192399024963,0.3679593503475189,10380,10519,165.0,11,0.0069170375,0.00021311731,0.008879888,95
0,z,0,0.21421516686677933,0.1212601587176323,11752,11773,-165.0,0,0.006519809,2.8603494e-05,0.0011918122,0
1,z,0,0.21421516686677933,0.1212601587176323,7648,7539,-135.0,1,0.008114169,0.00022997674,-0.009582364,1
2,z,0,0.21421516686677933,0.1212601587176323,8664,8482,-105.0,2,0.007636159,0.00034012453,-0.0141718555,2
3,z,0,0.21421516686677933,0.1212601587176323,5530,5485,-75.0,3,0.009527991,0.00013090536,-0.00545439,3
4,z,0,0.21421516686677933,0.1212601587176323,5724,5786,-45.0,4,0.0093207555,0.00017260198,0.0071917493,4
5,z,0,0.21421516686677933,0.1212601587176323,3750,3786,-15.0,5,0.011519158,0.00015307034,0.0063779308,5
6,z,0,0.21421516686677933,0.1212601587176323,3660,3719,15.0,6,0.011640631,0.00025620282,0.010675117,6
7,z,0,0.21421516686677933,0.1212601587176323,5625,5786,45.0,7,0.009359682,0.00045209698,0.018837374,7
8,z,0,0.21421516686677933,0.1212601587176323,5369,5502,75.0,8,0.00958975,0.000392023,0.016334292,8
9,z,0,0.21421516686677933,0.1212601587176323,8506,8565,105.0,9,0.0076536024,0.00011074458,0.0046143574,9
10,z,0,0.21421516686677933,0.1212601587176323,7285,7275,135.0,10,0.008287416,2.2007365e-05,-0.0009169736,10
11,z,0,0.21421516686677933,0.1212601587176323,12035,11846,165.0,11,0.0064706737,0.00025359387,-0.010566411,11
0,z,1,0.2633742392063141,0.21421516686677933,12243,12104,-165.0,0,0.006408622,0.00018293584,-0.0076223263,12
1,z,1,0.2633742392063141,0.21421516686677933,7282,7178,-135.0,1,0.008315642,0.00023045942,-0.009602476,13
2,z,1,0.2633742392063141,0.21421516686677933,9378,9125,-105.0,2,0.007350325,0.00043813483,-0.018255617,14
3,z,1,0.2633742392063141,0.21421516686677933,5808,5547,-75.0,3,0.009379978,0.000736517,-0.03068821,15
4,z,1,0.2633742392063141,0.21421516686677933,5707,5519,-45.0,4,0.009435804,0.0005366143,-0.022358928,16
5,z,1,0.2633742392063141,0.21421516686677933,2966,2979,-15.0,5,0.01296947,7.006819e-05,0.002919508,17
6,z,1,0.2633742392063141,0.21421516686677933,2978,2952,15.0,6,0.012985695,0.00014049085,-0.0058537857,18
