axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,sys_1,sys_10,sys_11,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_total
x,0,0.1432223439216614,0.10672914981842041,8538,8564,135.0,10,0.0076467283,6.089279e-05,0.0020297598,10,-0.001035803696140647,-0.00105110346339643,0.0006993354763835669,-6.680877413600683e-05,-0.0006310536991804838,0.002503804164007306,-0.0011268840171396732,0.0018675094470381737,-0.00020433333702385426,0.00023673614487051964,-0.0009903714526444674,0.0038954584099261955
x,0,0.1432223439216614,0.10672914981842041,22553,22759,165.0,11,0.004697701,0.00018209308,0.006069769,11,0.001907719299197197,9.46572981774807e-05,-0.001122061163187027,-0.00017635570839047432,0.0005470379255712032,0.0008660969324409962,0.0001698806881904602,-0.0014927634038031101,-0.003848171792924404,0.0012487312778830528,-0.003482562256976962,0.006061439413269428
x,1,0.16647763550281525,0.1432223439216614,23673,23200,-165.0,0,0.0046184817,0.00040418276,-0.013472759,12,0.0001574251800775528,0.0001225220039486885,-0.0006097201257944107,-0.0006522722542285919,0.0037194332107901573,-0.00205316673964262,0.00044685229659080505,-0.0011763134971261024,0.00040606316179037094,0.0001139538362622261,-0.00044630933552980423,0.004565867314557595
x,1,0.16647763550281525,0.1432223439216614,9646,9437,-135.0,1,0.0072381943,0.00043867112,-0.014622371,13,0.0032461965456604958,-0.00020814500749111176,0.002107366919517517,0.0009722849354147911,0.0020102113485336304,-0.001129956915974617,-0.00017859134823083878,0.004507801495492458,-0.0007775239646434784,-0.0012147612869739532,-0.006066860631108284,0.008973536515426305
x,1,0.16647763550281525,0.1432223439216614,17145,16817,-105.0,2,0.0054258434,0.00038682987,-0.01289433,14,-8.670613169670105e-05,0.0011531906202435493,-0.0002226969227194786,-2.2254884243011475e-05,0.00038222502917051315,-0.002103176899254322,0.0016286307945847511,0.0004156706854701042,0.0005182996392250061,0.00027724727988243103,-0.0016304580494761467,0.003433077221209539
x,1,0.16647763550281525,0.1432223439216614,9886,9429,-75.0,3,0.007191771,0.00094767817,-0.031589273,15,0.002356290817260742,0.0011650808155536652,-0.0007583498954772949,0.0006831735372543335,0.0028846263885498047,0.00044606998562812805,-0.0021968260407447815,-0.005548529326915741,-0.0023544635623693466,-2.789124846458435e-05,0.0027927570044994354,0.008088719232439376
x,1,0.16647763550281525,0.1432223439216614,7574,7170,-45.0,4,0.0082300315,0.0010975023,-0.036583412,16,0.00016248226165771484,-0.0007103681564331055,-7.961690425872803e-05,-0.0007117912173271179,-0.003184698522090912,-0.0026417188346385956,-0.0018327943980693817,-0.001252826303243637,0.0016498453915119171,-0.0025937408208847046,-0.00022900477051734924,0.005709257882409742
x,1,0.16647763550281525,0.1432223439216614,2807,2833,-15.0,5,0.013315339,0.00018464333,0.006154778,17,0.0008876398205757141,0.00020413333550095558,0.002020420040935278,0.00408788351342082,0.004150408320128918,0.004784105345606804,-0.0020305230282247066,-0.01115458831191063,-0.011983208358287811,0.0035136472433805466,-0.013470921665430069,0.022971560918102103
x,1,0.16647763550281525,0.1432223439216614,2844,2947,15.0,6,0.0131371375,0.0007123986,0.02374662,18,0.0017763320356607437,0.0023880191147327423,0.005632383748888969,0.0006707310676574707,0.008360320702195168,-0.00036226026713848114,0.0016988757997751236,-0.001302611082792282,0.006813975051045418,0.00027983449399471283,0.008373675867915154,0.015240334572938075
x,1,0.16647763550281525,0.1432223439216614,7529,7648,45.0,7,0.00811677,0.00031405123,0.010468374,19,0.0008641276508569717,-0.0003868294879794121,2.639833837747574e-05,0.0008713658899068832,-0.004569795913994312,-0.0004009520635008812,0.0007880516350269318,0.00023989565670490265,0.007508033886551857,0.000262552872300148,0.00042588915675878525,0.008944248991428866
