,axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
42,x,0.2737313747406006,0.33397098183631896,3,531,493,0.04299528403320313,0.05124401030317535,0.0011890854,15.0,6,42
43,x,0.2737313747406006,0.33397098183631896,3,1098,993,0.0572518190796875,0.03656890630456754,0.001609032,45.0,7,43
44,x,0.2737313747406006,0.33397098183631896,3,1603,1445,-0.008809182197890626,0.02728395684932338,0.0016610073,75.0,8,44
45,x,0.2737313747406006,0.33397098183631896,3,1607,1520,0.024642856734882812,0.028765612561019782,0.0008914989,105.0,9,45
46,x,0.2737313747406006,0.33397098183631896,3,1562,1518,0.021198533752460936,0.026706944893827175,0.00045775322,135.0,10,46
47,x,0.2737313747406006,0.33397098183631896,3,2410,2325,-0.006847935571171875,0.023711841940306812,0.0005752126000000001,165.0,11,47
48,x,0.33397098183631896,0.6021702885627747,4,2420,2369,-0.0118675575084375,0.0234772618385582,0.00034123592,-165.0,0,48
49,x,0.33397098183631896,0.6021702885627747,4,1555,1633,-0.0289641717078125,0.027141099162139262,0.0007839813499999999,-135.0,1,49
50,x,0.33397098183631896,0.6021702885627747,4,1484,1638,-0.007245647110351562,0.02837115263977076,0.0015805828,-105.0,2,50
51,x,0.33397098183631896,0.6021702885627747,4,1489,1605,-0.06620700387851561,0.025473805340949354,0.0012013433,-75.0,3,51
52,x,0.33397098183631896,0.6021702885627747,4,1012,1114,-0.042403190532031246,0.0321025804284586,0.0015373272,-45.0,4,52
53,x,0.33397098183631896,0.6021702885627747,4,511,512,-0.09271022777539062,0.04940462275127396,3.132231e-05,-15.0,5,53
54,x,0.33397098183631896,0.6021702885627747,4,533,526,-0.12832452699453128,0.04932032893097983,0.00021180269,15.0,6,54
55,x,0.33397098183631896,0.6021702885627747,4,1052,1022,0.016277706514492188,0.03361626683159191,0.00046349165,45.0,7,55
56,x,0.33397098183631896,0.6021702885627747,4,1569,1524,0.0267546787459375,0.03083386846609961,0.000466189,75.0,8,56
57,x,0.33397098183631896,0.6021702885627747,4,1552,1482,0.0187470788259375,0.026195309343700037,0.00073928497,105.0,9,57
58,x,0.33397098183631896,0.6021702885627747,4,1627,1612,0.01413755250660156,0.026452998820506186,0.00014839174,135.0,10,58
59,x,0.33397098183631896,0.6021702885627747,4,2382,2364,-0.036202836651953126,0.022764704589513778,0.000121527395,165.0,11,59
60,z,0.12744246423244476,0.2507466971874237,0,2823,2882,-0.03517686278949218,0.021757450377204227,0.00033137962,-165.0,0,0
61,z,0.12744246423244476,0.2507466971874237,0,1758,1843,-0.029888975217968752,0.02626794457507211,0.0007563542500000001,-135.0,1,1
62,z,0.12744246423244476,0.2507466971874237,0,2082,2228,-0.0229672384725,0.02161954151402822,0.001085438,-105.0,2,2
63,z,0.12744246423244476,0.2507466971874237,0,1460,1554,-0.03868561718125,0.026526545120027962,0.0009993417,-75.0,3,3
64,z,0.12744246423244476,0.2507466971874237,0,1505,1559,-0.024603594010546875,0.029939637751557013,0.00056472165,-45.0,4,4
65,z,0.12744246423244476,0.2507466971874237,0,1055,1101,-0.03636067166445312,0.029493778094872605,0.0006836573599999999,-15.0,5,5
66,z,0.12744246423244476,0.2507466971874237,0,1035,1014,0.03240568910847656,0.03388480930661372,0.00032840273,15.0,6,6
67,z,0.12744246423244476,0.2507466971874237,0,1566,1439,0.04804896154570313,0.02867570169177007,0.0013542182999999998,45.0,7,7
68,z,0.12744246423244476,0.2507466971874237,0,1534,1412,-0.0071289788207031255,0.028553320224417752,0.001326956,75.0,8,8
69,z,0.12744246423244476,0.2507466971874237,0,2087,2018,0.03765264812421874,0.027721828521098897,0.0005385988,105.0,9,9
70,z,0.12744246423244476,0.2507466971874237,0,1768,1708,-0.03824466103476562,0.028734606340177996,0.0005530964700000001,135.0,10,10
71,z,0.12744246423244476,0.2507466971874237,0,2975,2960,0.03361087866511719,0.02040764782145443,8.098413e-05,165.0,11,11
72,z,0.2507466971874237,0.3173189461231232,1,2806,2787,-0.025902909782656247,0.022291124898715372,0.000108852444,-165.0,0,12
73,z,0.2507466971874237,0.3173189461231232,1,1764,1690,0.013307853646875,0.02674083172541309,0.0006864972500000001,-135.0,1,13
74,z,0.2507466971874237,0.3173189461231232,1,2086,2274,-0.017895512827265626,0.025103544525972406,0.0013816587,-105.0,2,14
75,z,0.2507466971874237,0.3173189461231232,1,1692,1676,-0.04913106965496094,0.028855982200368054,0.00015222197,-75.0,3,15
76,z,0.2507466971874237,0.3173189461231232,1,1463,1543,-0.07370058177851563,0.025668142907023895,0.00085276715,-45.0,4,16
77,z,0.2507466971874237,0.3173189461231232,1,770,816,-0.01607509456015625,0.04599678348924352,0.0009293601,-15.0,5,17
78,z,0.2507466971874237,0.3173189461231232,1,808,818,-0.00777460080859375,0.041629036761785386,0.00019706474,15.0,6,18
79,z,0.2507466971874237,0.3173189461231232,1,1403,1387,0.03427288076671875,0.029602605812866282,0.00018375755000000002,45.0,7,19
80,z,0.2507466971874237,0.3173189461231232,1,1688,1596,0.04606629063027344,0.029261656819568934,0.00089766463,75.0,8,20
81,z,0.2507466971874237,0.3173189461231232,1,2259,2119,0.03243284844207031,0.023207251928552688,0.0010246645,105.0,9,21
82,z,0.2507466971874237,0.3173189461231232,1,1792,1669,0.02061980218417969,0.026868834524754446,0.001138762,135.0,10,22
83,z,0.2507466971874237,0.3173189461231232,1,2919,2881,0.006263809404804688,0.02009104947029017,0.00020993507,165.0,11,23
84,z,0.3173189461231232,0.3753333985805512,2,3010,2994,-0.020923621906054686,0.01913018725627143,8.539033999999999e-05,-165.0,0,24
85,z,0.3173189461231232,0.3753333985805512,2,1686,1774,0.011025752788007813,0.027255028021099546,0.00081495947,-135.0,1,25
86,z,0.3173189461231232,0.3753333985805512,2,2215,2337,-0.059203523396875,0.023372729931004223,0.00085879007,-105.0,2,26
87,z,0.3173189461231232,0.3753333985805512,2,1697,1812,-0.030901629728515626,0.027378972342862355,0.001050132,-75.0,3,27
88,z,0.3173189461231232,0.3753333985805512,2,1340,1323,-0.06752592392773438,0.02987076343716311,0.00020455362000000002,-45.0,4,28
